,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('311330', 'Confectionery Manufacturing from Purchased Chocolate')",311330,Confectionery Manufacturing from Purchased Chocolate,0.0,0.0,17,3777,3968,83784,2714736,22854118,,0.202902702187,
"('31134', 'Nonchocolate Confectionery Manufacturing')",31134,Nonchocolate Confectionery Manufacturing,0.0,0.0,1,1627,1691,47204,1752386,12941742,,0.021184645369,
"('311340', 'Nonchocolate Confectionery Manufacturing')",311340,Nonchocolate Confectionery Manufacturing,101.19,0.5,8,1627,1691,47204,1752386,12941742,0.00214367426489,0.169477162952,0.01264875
"('3114', 'Fruit and Vegetable Preserving and Specialty Food Manufacturing')",3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.0,0.0,18,4450,5261,377868,14533527,144301028,,0.0476356823018,
"('31141', 'Frozen Food Manufacturing')",31141,Frozen Food Manufacturing,0.0,0.0,5,1697,2003,198370,6850604,58856670,,0.0252054242073,
"('311411', 'Frozen Fruit, Juice, and Vegetable Manufacturing')",311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",0.0,0.0,18,491,653,73441,2606421,25925828,,0.24509470187,
"('311412', 'Frozen Specialty Food Manufacturing')",311412,Frozen Specialty Food Manufacturing,0.0,0.0,13,1220,1350,124929,4244183,32887899,,0.104059105572,
"('31142', 'Fruit and Vegetable Canning, Pickling, and Drying')",31142,"Fruit and Vegetable Canning, Pickling, and Drying",0.0,0.0,13,2797,3258,179498,7682923,85444358,,0.0724242052836,
"('311421', 'Fruit and Vegetable Canning')",311421,Fruit and Vegetable Canning,0.0,0.0,33,2016,2338,116729,5194636,51979029,,0.282706097028,
"('311422', 'Specialty Canning')",311422,Specialty Canning,0.0,0.0,8,375,395,30197,1319032,1888663,,0.264926979501,
"('311423', 'Dried and Dehydrated Food Manufacturing')",311423,Dried and Dehydrated Food Manufacturing,618.51,0.5,8,431,525,32364,1169255,13278390,0.0191110493141,0.24718823384,0.07731375
"('3115', 'Dairy Product Manufacturing')",3115,Dairy Product Manufacturing,0.0,0.0,10,3813,4905,297731,12795935,200060662,,0.0335873657765,
"('31151', 'Dairy Product (except Frozen) Manufacturing')",31151,Dairy Product (except Frozen) Manufacturing,0.0,0.0,12,2531,3490,251144,11050274,180412822,,0.0477813525308,
"('311511', 'Fluid Milk Manufacturing')",311511,Fluid Milk Manufacturing,0.0,0.0,15,889,1322,119406,5431831,74749702,,0.125621828049,
"('311512', 'Creamery Butter Manufacturing')",311512,Creamery Butter Manufacturing,144.19,1.0,2,88,101,2408,106357,3619647,0.0598795681063,0.830564784053,0.072095
"('311513', 'Cheese Manufacturing')",311513,Cheese Manufacturing,0.0,0.0,74,1206,1521,95462,3735423,73102868,,0.775177557562,
"('311514', 'Dry, Condensed, and Evaporated Dairy Product Manufacturing')",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",0.0,0.0,2,434,546,32569,1727135,26857344,,0.0614080874451,
"('31152', 'Ice Cream and Frozen Dessert Manufacturing')",31152,Ice Cream and Frozen Dessert Manufacturing,170.37,1.0,23,1316,1415,46587,1745661,19647840,0.00365702878485,0.493699959216,0.00740739130435
"('311520', 'Ice Cream and Frozen Dessert Manufacturing')",311520,Ice Cream and Frozen Dessert Manufacturing,75.45,1.0,56,1316,1415,46587,1745661,19647840,0.00161955051838,1.20205207461,0.00134732142857
"('3116', 'Animal Slaughtering and Processing')",3116,Animal Slaughtering and Processing,0.0,0.0,17,11707,13028,1069835,31696025,340173972,,0.0158903008408,
"('31161', 'Animal Slaughtering and Processing')",31161,Animal Slaughtering and Processing,0.0,0.0,20,11707,13028,1069835,31696025,340173972,,0.0186944715774,
"('311611', 'Animal (except Poultry) Slaughtering')",311611,Animal (except Poultry) Slaughtering,361.645,0.5,44,5862,6061,328877,10281303,147841274,0.00109963603414,0.133788620062,0.00821920454545
"('311612', 'Meat Processed from Carcasses')",311612,Meat Processed from Carcasses,0.0,0.0,61,4515,4820,245742,8272396,84608895,,0.248227816165,
"('311613', 'Rendering and Meat Byproduct Processing')",311613,Rendering and Meat Byproduct Processing,0.0,0.0,16,395,628,19420,841109,7994470,,0.823892893924,
"('311615', 'Poultry Processing')",311615,Poultry Processing,0.0,0.0,151,1062,1519,475796,12301217,99729333,,0.317362903429,
"('3117', 'Seafood Product Preparation and Packaging')",3117,Seafood Product Preparation and Packaging,2129.345,7.5,6,2106,2319,87896,3139178,29660052,0.0242257326841,0.068262492036,0.354890833333
"('31171', 'Seafood Product Preparation and Packaging')",31171,Seafood Product Preparation and Packaging,0.0,0.0,36,2106,2319,87896,3139178,29660052,,0.409574952216,
"('311711', 'Seafood Canning')",311711,Seafood Canning,3271.67,1.0,7,411,436,6611,270830,2621654,0.494882771139,1.05884132506,0.467381428571
"('311712', 'Fresh and Frozen Seafood Processing')",311712,Fresh and Frozen Seafood Processing,0.0,0.0,66,1709,1883,79715,2812638,26436147,,0.827949570344,
"('3118', 'Bakeries and Tortilla Manufacturing')",3118,Bakeries and Tortilla Manufacturing,12553.35,12.0,14,36135,37896,756361,22018200,131745118,0.0165970350137,0.0185096799015,0.896667857143
"('31181', 'Bread and Bakery Product Manufacturing')",31181,Bread and Bakery Product Manufacturing,59.515,1.0,250,32589,33982,606292,16794004,85928010,9.81622716447e-05,0.412342567608,0.00023806
"('311811', 'Retail Bakeries')",311811,Retail Bakeries,144.58,1.0,395,24071,24580,206593,3458218,12842397,0.000699830100729,1.91197184803,0.000366025316456
"('311812', 'Commercial Bakeries')",311812,Commercial Bakeries,580.0,1.0,135,7899,8621,347189,11559558,60685426,0.00167055983917,0.388837203944,0.0042962962963
"('311813', 'Frozen Cakes, Pies, and Other Pastries Manufacturing')",311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",127.52,0.5,22,730,781,52510,1776228,12400187,0.00242848981146,0.418967815654,0.00579636363636
"('31182', 'Cookie, Cracker, and Pasta Manufacturing')",31182,"Cookie, Cracker, and Pasta Manufacturing",3897.48,6.0,7,2351,2562,109790,4222519,39958852,0.0354994079607,0.0637580836142,0.556782857143
"('311821', 'Cookie and Cracker Manufacturing')",311821,Cookie and Cracker Manufacturing,263.09,2.0,25,1098,1183,66270,2556932,22616203,0.00396997132941,0.377244605402,0.0105236
"('311822', 'Flour Mixes and Dough Manufacturing from Purchased Flour')",311822,Flour Mixes and Dough Manufacturing from Purchased Flour,1412.98,7.0,12,696,791,31695,1246450,12843109,0.0445805332071,0.378608613346,0.117748333333
"('311823', 'Dry Pasta Manufacturing')",311823,Dry Pasta Manufacturing,0.0,0.0,8,569,588,10718,419137,3915725,,0.746407911924,
"('31183', 'Tortilla Manufacturing')",31183,Tortilla Manufacturing,24823.83,8.0,8,1255,1352,33916,797893,4357769,0.731920922279,0.235876872273,3.10297875
"('311830', 'Tortilla Manufacturing')",311830,Tortilla Manufacturing,8624.28,3.0,62,1255,1352,33916,797893,4357769,0.254283524,1.82804576011,0.139101290323
"('3119', 'Other Food Manufacturing')",3119,Other Food Manufacturing,0.0,0.0,17,10261,11318,417947,16216274,175593795,,0.0406750138175,
"('31191', 'Snack Food Manufacturing')",31191,Snack Food Manufacturing,0.0,0.0,11,1635,1851,103492,3727159,56069488,,0.106288408766,
"('311911', 'Roasted Nuts and Peanut Butter Manufacturing')",311911,Roasted Nuts and Peanut Butter Manufacturing,0.0,0.0,5,598,649,32297,1156909,15371273,,0.154813140539,
"('311919', 'Other Snack Food Manufacturing')",311919,Other Snack Food Manufacturing,0.0,0.0,39,1043,1202,71195,2570250,40698215,,0.547791277477,
"('31192', 'Coffee and Tea Manufacturing')",31192,Coffee and Tea Manufacturing,505.06,6.0,9,1340,1400,35902,1596195,18837135,0.0140677399588,0.250682413236,0.0561177777778
"('311920', 'Coffee and Tea Manufacturing')",311920,Coffee and Tea Manufacturing,0.0,0.0,22,1340,1400,35902,1596195,18837135,,0.612779232355,
"('31193', 'Flavoring Syrup and Concentrate Manufacturing')",31193,Flavoring Syrup and Concentrate Manufacturing,0.0,0.0,1,486,533,15649,848955,11456508,,0.0639018467634,
"('311930', 'Flavoring Syrup and Concentrate Manufacturing')",311930,Flavoring Syrup and Concentrate Manufacturing,0.0,0.0,4,486,533,15649,848955,11456508,,0.255607387053,
"('31194', 'Seasoning and Dressing Manufacturing')",31194,Seasoning and Dressing Manufacturing,0.0,0.0,5,2085,2307,81006,3885249,33960944,,0.0617238229267,
"('311941', 'Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing')",311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",0.0,0.0,6,1034,1146,36866,1532429,15874547,,0.162751586828,
"('311942', 'Spice and Extract Manufacturing')",311942,Spice and Extract Manufacturing,7474.38,4.5,8,1064,1161,44140,2352820,18086397,0.169333484368,0.181241504304,0.9342975
"('31199', 'All Other Food Manufacturing')",31199,All Other Food Manufacturing,0.0,0.0,32,4841,5227,181898,6158716,48295497,,0.175922769904,
"('311991', 'Perishable Prepared Food Manufacturing')",311991,Perishable Prepared Food Manufacturing,823.34,2.0,60,2403,2549,97090,2937295,22361192,0.00848017303533,0.617983314451,0.0137223333333
"('311999', 'All Other Miscellaneous Food Manufacturing')",311999,All Other Miscellaneous Food Manufacturing,0.0,0.0,104,2458,2678,84808,3221421,25934305,,1.22629940572,
"('3121', 'Beverage Manufacturing')",3121,Beverage Manufacturing,0.0,0.0,18,12810,14024,331124,15279524,192167145,,0.0543603000689,
"('31211', 'Soft Drink and Ice Manufacturing')",31211,Soft Drink and Ice Manufacturing,0.0,0.0,9,3381,4266,158935,6906366,98734396,,0.0566269229559,
"('312111', 'Soft Drink Manufacturing')",312111,Soft Drink Manufacturing,0.0,0.0,56,913,1360,121101,5439351,86809173,,0.462423927135,
"('312112', 'Bottled Water Manufacturing')",312112,Bottled Water Manufacturing,0.0,0.0,41,1033,1182,23135,972085,9659978,,1.77220661336,
"('312113', 'Ice Manufacturing')",312113,Ice Manufacturing,2744.54,1.0,23,1447,1724,14699,494930,2265245,0.186716103136,1.56473229471,0.119327826087
"('31212', 'Breweries')",31212,Breweries,3679.705,3.0,4,1385,1442,64229,3568964,47262241,0.0572903984182,0.0622771645207,0.91992625
"('312120', 'Breweries')",312120,Breweries,753.075,1.0,34,1385,1442,64229,3568964,47262241,0.0117248439179,0.529355898426,0.0221492647059
"('31213', 'Wineries')",31213,Wineries,0.0,0.0,5,7767,7982,93764,3934938,31588451,,0.0533253700781,
"('312130', 'Wineries')",312130,Wineries,0.0,0.0,52,7767,7982,93764,3934938,31588451,,0.554583848812,
"('31214', 'Distilleries')",31214,Distilleries,0.0,0.0,1,300,334,10177,628141,9361059,,0.0982607841211,
"('312140', 'Distilleries')",312140,Distilleries,2799.0,0.5,2,300,334,10177,628141,9361059,0.275031934755,0.196521568242,1.3995
"('3122', 'Tobacco Manufacturing')",3122,Tobacco Manufacturing,0.0,0.0,3,267,334,42610,2561086,85288300,,0.0704060079793,
"('31221', 'Tobacco Stemming and Redrying')",31221,Tobacco Stemming and Redrying,0.0,0.0,1,31,37,0,0,0,,inf,
"('312210', 'Tobacco Stemming and Redrying')",312210,Tobacco Stemming and Redrying,31719.41,76.0,4,31,37,0,0,0,inf,inf,
"('31222', 'Tobacco Product Manufacturing')",31222,Tobacco Product Manufacturing,0.0,0.0,1,246,297,36822,2400842,82346978,,0.0271576774754,
